idx,product_id,quantity,wholesale_cost,sale_price,supplier_id
118,DHCL1BN0K4DF,3575,412.84,718.75,PIOYEFFR
119,52HEK4QZN1HN,5433,392.76,498.81,EGEDGYQE
120,YXJB784A7JDU,4896,387.48,653.68,ZLYACVMT
121,JJSPHYMNEOGU,1424,124.99,232.36,UMIGMZRV
122,GLWLR8KYNA3Y,6749,394.09,545.42,CMLLTKBT
123,APOMSFP869S4,5543,369.22,625.46,DLDNHXON
124,UGZNGP5UZCIE,4433,469.81,810.42,UIBJMQJU
125,S2WJRIU5C5DO,4305,433.33,684.66,COURESFM
126,DBB53PIXPC4E,2974,135.93,213.68,SLVUJJVM
127,IEK1NSKCINKK,2903,105.80,157.43,IRXVIIXD
128,FYZGV0PZVGTO,2931,100.46,185.95,HDPBFCUI
129,35KQBKYIH850,7626,444.43,649.31,PUPXILQT
130,KU39ZA4CYP3D,2466,128.32,149.24,YJFOCKUP
131,T162832HEOKI,3689,437.48,554.72,UPJEDILP
132,H4OBKFXJNIJO,3676,429.20,646.38,UXQLDNBC
133,6DZ94XQ9HG30,7259,377.00,445.99,HIFWYHGS
134,LTB8G0M0EKCY,2528,107.35,118.84,TKOBOHXZ
135,UUS6NY30AKDX,6424,408.79,474.61,PIOYEFFR
136,PTRULTU0I4Y5,6605,402.08,496.17,DLDNHXON
137,QD6J3AJRFWCU,1965,109.69,170.02,ZLYACVMT
138,58XUQYJ3UWDB,5901,408.79,759.12,QOODUKSF
139,0EV71J3BZKQO,7077,373.10,510.03,SXEDLYPA
140,9T7LFVMEINYJ,3077,407.45,533.76,RRHKWHUG
141,D2WNA1WNASPX,3010,420.99,777.57,CMLLTKBT
142,0FM2Z6ZPNFGF,6196,440.25,653.33,NPZGUNBG
143,EC0UFQVU2FF3,1934,135.93,170.73,UXQLDNBC
144,7RNDU9PDKJJM,6179,434.71,595.12,EIAPSBUM
145,K55Z08KTHMTY,6388,375.70,441.07,TKLCRQAQ
146,O3B8JHX0EAYK,3898,455.63,818.31,HRCTNANX
147,STN32DQSWLJI,124,1.49,2.06,DLDNHXON
148,R4X8S38JB0DM,5003,360.22,545.01,TKOBOHXZ
149,WR26HBY5Z510,1673,130.84,236.69,MGOWPCPA
150,KO7CZ4GUCJXP,2736,112.85,154.27,EIAPSBUM
151,4XEA38M1O7X8,3299,466.96,608.92,VSBPGANE
152,F1NP6NCJOZL8,7489,375.70,527.48,PFUZXUBP
153,IXIPBPU8PP1W,3405,414.20,727.75,TNGXLUXB
154,QOIVTP0W0J4G,2006,114.44,185.62,DLDNHXON
155,4VEK1JVIZ9RE,1673,136.79,211.89,PIOYEFFR
156,V9LGZ1YAGRY3,7312,396.75,575.68,HRCTNANX
157,380VX2DUA4AO,3842,425.09,502.88,PFUZXUBP
158,2AFLKCYRJWL0,4756,370.51,536.13,GYCRCIZD
159,OI3QDHRCUCF0,7633,429.20,607.32,IRXVIIXD
160,PNG312CQSGWZ,5546,338.76,624.00,PUAAQYKI
161,ZHLEM4RTR4HH,6222,434.71,552.95,CMLLTKBT
162,1WUDLA23TOQ0,6762,408.79,536.74,YXEYYAUU
163,GP45LLD2RAHG,3914,388.80,684.29,VRPUFLOH
164,5HAUTUF9WZNN,5788,399.41,735.31,TNGXLUXB
165,V84R0GVYQQ0S,4794,400.75,595.92,VRPUFLOH
166,6DWRYC74N34B,1915,136.79,231.72,HDPBFCUI
167,XG5KK2ZNQIUF,5917,416.91,534.48,GAHBTDEC
168,CO04DOU0NO6R,5932,396.75,504.27,COURESFM
169,944UEUH2RYOE,1376,130.84,169.96,COURESFM
170,NN4AT43BZSU4,5243,348.79,511.33,UPJEDILP
171,4PC1G0EB7VJ4,2280,128.32,210.96,ESTUSGVQ
172,VTWH5O2594HN,4636,436.09,591.77,ZLYACVMT
173,0IZVM17QYDS4,6415,382.22,660.09,JIBXLYVJ
174,66OW1JU9EI6L,5688,384.85,684.65,PFUZXUBP
175,G8EVEQEVWLYN,17,0.21,0.25,SLVUJJVM
176,W9WY1SC80Y8Z,7143,395.42,727.57,UMIGMZRV
177,8O2K9YZ8BFPB,1611,123.34,156.40,CPKTLQGA
178,297T8FXWBULT,7414,464.12,802.93,CPKTLQGA
179,G6NCPLQS6HVJ,3860,474.09,898.87,EIAPSBUM
180,CHXTRHI2K50T,5422,371.80,506.02,TNGXLUXB
181,QWIDL1PH2GEN,1122,144.60,173.09,COURESFM
182,T9Z13KNHQ8LS,4790,400.75,484.11,SLVUJJVM
183,T1W4ZCUZIAST,5546,350.05,585.63,NPZGUNBG
184,IJ2N0VS17KSF,2399,116.84,194.07,VSBPGANE
185,MM1PMJC7HRKC,6896,402.08,566.13,GYCRCIZD
186,T652KQ6JPOKG,3471,441.64,519.81,ZHSGPGCE
187,OV27PG8ORGVM,3584,386.16,691.23,ZHSGPGCE
188,FJIF4NGOOKLM,5539,402.08,610.76,JIBXLYVJ
189,0WO8WRUQORN8,5795,447.22,832.72,GAHBTDEC
190,G1B0XSJN5QGY,2360,141.98,260.82,UIBJMQJU
191,51L08USUJTL5,2486,98.20,163.11,IRXVIIXD
192,HFI46PICTWOI,7578,416.91,640.37,CPKTLQGA
193,TPPVHAVLDZED,2633,137.65,227.26,UMIGMZRV
194,S9KRQFAOD4XX,4025,387.48,671.89,ESTUSGVQ
195,YRUIYYOLK07S,5776,382.22,493.06,NJVSHSAQ
196,BVXF7SDYI3JH,248,13.70,24.93,YJFOCKUP
197,V1J1TJ1BNS86,6223,379.61,564.10,VRPUFLOH
198,G8UPDKOH4OOM,6860,374.40,455.27,CMLLTKBT
199,WPZEXMOWMWVR,4264,425.09,488.85,EGEDGYQE
200,GV32FK83N3EJ,6071,468.38,681.02,NJVSHSAQ
201,SXQRR6Q22WE0,5026,402.08,747.47,GYCRCIZD
202,9IUOXYEDPAHQ,715,33.28,38.37,IRXVIIXD
203,E1CG3Q6286J4,5361,400.75,587.10,GAHBTDEC
204,1IPSCQKO6FPG,2739,118.45,130.89,ZHSGPGCE
205,MTM6DP9ZO2Z1,4349,355.12,659.46,CPKTLQGA
206,8639YT6FRE9P,6477,461.28,716.83,DUVESCUP
207,AAXTRW9BRTE8,3875,411.49,454.28,UMIGMZRV
208,9CK7YYX145LZ,1372,141.98,260.39,UMIGMZRV
209,GDDXMSWZA7WU,842,45.05,70.14,TNGXLUXB
210,PA5V88XMRJPY,2015,146.36,220.86,VRPUFLOH
211,WGIZ0EBVLLJS,3438,387.48,475.05,DUVESCUP
212,0UXA49MQ28B1,5032,430.58,574.39,JIBXLYVJ
213,HFHDE7W6B7AO,1448,140.24,226.35,UXQLDNBC
214,OPTPMZUUQSD2,7394,440.25,664.78,ZHSGPGCE
215,4X4H7GGCZHJL,1448,125.82,215.78,UMIGMZRV
216,NYKHS00DOACF,7168,371.80,656.23,GYCRCIZD
217,IHP4ZODG1JB0,4344,451.42,500.17,MGOWPCPA
218,0A6JH3BSNM63,3134,437.48,824.65,RRHKWHUG
219,P0KESAGEDU72,4289,411.49,566.62,YXEYYAUU
220,1XW2GDITKC5G,3960,365.35,683.20,QOODUKSF
221,K41URFHIVMEI,1064,34.25,58.12,PIOYEFFR
222,FMPHGVJJ6MFO,7112,420.99,735.05,SLVUJJVM
223,3FFSYL1776PJ,5197,451.42,630.63,HIFWYHGS
224,2FHGOIUKRMMD,3234,343.76,606.74,UMIGMZRV
225,9HM5X7LR1BBD,4949,390.12,584.40,IRXVIIXD
226,GZ7BBSLLFKI7,891,30.46,56.72,SLVUJJVM
227,LV8HVZYXG9TJ,5701,406.10,543.77,IRXVIIXD
228,TE5EMWPW2KJW,3595,429.20,650.67,DLDNHXON
229,2XNQJEMRWYT0,4657,345.02,402.29,GYCRCIZD
230,J5A90XA1O285,1039,37.71,60.49,GAHBTDEC
231,5Q515Y4R37RU,7462,390.12,543.05,UQAIHIOI
232,8DQRT2FT920X,697,34.73,61.96,QOODUKSF
233,D64CLLW0IQBD,2962,117.64,191.64,NIIFSJPI
234,1TNSFOWHGXM7,4196,373.10,566.37,TKLCRQAQ
235,7BLIMV8DMZGI,1321,130.84,224.39,ESTUSGVQ
236,HWHUNNRYWUDW,2465,141.11,213.36,JFRFZLXG
237,4YLRXJ009VUN,3794,433.33,529.96,UIBJMQJU
238,JCZD6R2HYBX5,5036,415.55,477.47,QOODUKSF
239,MHFRQWXHBD2Q,2182,106.58,184.92,JPNKOVEY
240,BUBGBNZPSSQO,1293,121.70,230.26,ESTUSGVQ
241,2QEMFLWV4BM4,6287,440.25,750.63,UQAIHIOI
242,02E927CE0CJH,7568,402.08,529.14,VRPUFLOH
243,MDEDC7GGM9EV,826,41.84,59.37,UIBJMQJU
244,AUIHTK7ARD6R,3692,398.08,606.28,COURESFM
245,SQAGHXL5M5KJ,2432,117.64,222.46,UMIGMZRV
246,YDKD9M9XLZBU,730,38.22,52.71,QOODUKSF
247,N15TI7S5RTLY,2452,122.52,167.97,DLDNHXON
248,MT7E23Q1SDJO,1095,38.73,49.88,QOODUKSF
249,SYW1TZ635QUO,3919,402.08,591.46,ZHSGPGCE
250,V8IEZUX4OE45,4223,400.75,709.33,DUVESCUP
251,8AOFYD899TKC,7610,440.25,809.18,HRCTNANX
252,M0PGLFE1LIQH,4003,443.03,537.40,SXEDLYPA
253,6IG8MMSNNW9U,6543,426.46,698.12,PIOYEFFR
254,1YBI8NUG4Z3G,6979,383.54,717.22,PUAAQYKI
255,7AYI61AB40J4,2741,112.85,179.66,DUVESCUP
256,2O3RQNH2O8S1,7262,484.16,817.75,UMIGMZRV
257,0WFJ0LTROMQ4,1872,109.69,129.43,TNGXLUXB
258,BPYCO624YE4O,528,37.21,57.38,HIFWYHGS
259,5LAPUR0PVV92,1155,124.17,168.37,PFUZXUBP
260,DRNKAAVKZ6V9,2992,423.72,706.76,PUPXILQT
261,3BGO0CDRS7YN,441,39.24,43.79,NIIFSJPI
262,CKKG5SOFFZ17,6518,400.75,672.46,GAHBTDEC
263,35X3QYPNZMT6,4542,416.91,509.46,SLVUJJVM
264,8H20C6Z6N8AP,5595,429.20,732.64,JFRFZLXG
265,ZJ3GLIEEK23M,2535,101.97,143.06,GAHBTDEC
266,Z9M2RQYMB1XZ,2730,128.32,243.68,GYCRCIZD
267,0PJU38QUFL8W,811,39.75,58.15,JPNKOVEY
268,VN5CRD6MWJV9,7361,415.55,487.44,JFRFZLXG
269,ZRR39E9L2WUK,6503,468.38,555.50,VYGATPNP
270,6NLIVLWKMS6K,1165,95.23,143.89,EIAPSBUM
271,6QTGLJOLMF72,3692,391.44,557.41,TNGXLUXB
272,9VAJCPNCCWLF,878,41.84,56.86,TNGXLUXB
273,MAF2Y4G19Z65,4703,371.80,476.28,DUVESCUP
274,BUW8AJOTA1C1,5429,411.49,708.17,TKOBOHXZ
275,P5MWYR9HO48E,6028,362.78,475.24,ZHSGPGCE
276,3TJHP167QQOJ,3982,431.95,710.99,HDPBFCUI
277,C35QKENLK2Y0,4058,400.75,629.98,PFUZXUBP
278,JQLTUX72B3QT,6676,455.63,826.51,ZLYACVMT
279,GY0KW59GB343,3953,350.05,646.19,PIOYEFFR
280,UWRNF4YMOCNF,1122,140.24,158.33,UXQLDNBC
281,U0N6ZA8VG7PI,1027,43.97,67.67,JFRFZLXG
282,59IN74YSS5H7,6613,379.61,458.95,YXEYYAUU
283,PX5DSI3ZYWMV,3902,416.91,527.81,VYGATPNP
284,CXZFDTE131F2,4105,419.63,724.28,TNGXLUXB
285,EI51ZQS28UMJ,6601,407.45,495.46,GYCRCIZD
286,5HV09J81NYMR,6990,374.40,573.58,DUVESCUP
287,G4V3VRNMK7HS,2473,143.72,240.73,SXEDLYPA
288,X62B93RB6LUV,3199,341.26,393.13,HIFWYHGS
289,6X2KWWP5V3PA,3942,412.84,505.32,HDPBFCUI
290,3RJB974LLMJL,924,39.75,74.57,HIFWYHGS
291,VUARTPO396X1,349,12.08,13.81,JFRFZLXG
292,Y9IQ2XZB46WS,4649,392.76,439.11,SLVUJJVM
293,NKJZ720GHKOC,2777,120.89,211.07,UPJEDILP
294,NYLFPYVLD9LI,7286,419.63,495.58,GYCRCIZD
295,JEEJ7SIM98LV,5060,390.12,610.93,TKLCRQAQ
296,W7DPDEWBL6DY,4951,433.33,767.43,PUPXILQT
297,VBSVJCKXO6H6,4750,383.54,721.44,HIFWYHGS
298,0P4YX39CCTFC,66,4.22,6.84,ESTUSGVQ
299,65SB7IO0K1DT,7484,403.42,593.83,EGEDGYQE
300,K47RRIQECMEP,2637,124.17,158.81,SXEDLYPA
301,EXZKPCXICDM4,5504,362.78,486.85,JFRFZLXG
302,FRW4TBQ0LSDX,1601,156.20,265.85,TKLCRQAQ
303,2BVI7D7J9Y7K,4887,412.84,485.91,UPJEDILP
304,GZHNA4MVBNIG,277,14.37,20.41,HDPBFCUI
305,ITS45EB9ZVD5,187,10.24,11.42,IRXVIIXD
306,WV722OVVRG3G,3026,431.95,664.77,UMIGMZRV
307,UE8TQM9HB64H,5288,427.83,518.53,EGEDGYQE
308,9QRE96IE93BQ,7627,394.09,741.68,VSBPGANE
309,Y6Z5KYYEAOLN,5841,404.76,611.59,NPZGUNBG
310,S4B4PK4PX54U,4421,407.45,696.33,HIFWYHGS
311,6ZCIZBIIL374,985,50.04,87.17,UQAIHIOI
312,JJFYCPWLZMRS,5674,406.10,572.60,IRXVIIXD
313,N85H5YBRE2Z1,141,3.81,7.00,ZHSGPGCE
314,G0SG9BA1QLIX,4732,384.85,710.43,TKOBOHXZ
315,4P9NBXV90AUR,339,12.39,13.73,COURESFM
316,SW8ATJ17P9PE,7033,345.02,380.21,PIOYEFFR
317,5AL5H932TCVK,673,47.80,71.27,GYCRCIZD
318,YHHJGDWLKCR0,4851,399.41,660.62,NPZGUNBG
319,6GAHVCU8ZAQE,2443,131.68,153.28,YJFOCKUP
320,9QMAEV186WG9,3757,420.99,618.43,UQAIHIOI
321,B7AT65QO65TK,7108,395.42,506.93,NJVSHSAQ
322,XUS95WYFUAG8,3780,418.27,555.88,PUPXILQT
323,M7TESE5Q8V0O,3486,425.09,747.31,QOODUKSF
324,OR1URM51N4K0,1501,139.37,206.83,UMIGMZRV
325,AB663S6ZFH8E,1705,123.34,225.71,JPNKOVEY
326,LKF4V0I0LUND,6424,399.41,523.23,VSBPGANE
327,3JF9OF4QAA1O,2729,125.82,225.85,HIFWYHGS
328,N6R05XS2RM2Z,3862,462.70,806.95,HRCTNANX
329,5JRYZYOW31CY,6839,396.75,730.81,JFRFZLXG
330,DIN3QV606RJ5,1374,134.22,203.21,MGOWPCPA
331,JEVBJ6J8J8SR,5996,429.20,726.64,ZHSGPGCE
332,UHVGQYMA1QZO,1637,116.84,182.15,JIBXLYVJ
333,1DM5OWVOUDQE,3244,438.86,728.95,PIOYEFFR
334,6RGR11UVY98R,2928,116.04,193.90,PFUZXUBP
335,PUX5WJMFYWTB,6156,343.76,489.17,UQAIHIOI
336,FRY7VHNRI4J5,6802,425.09,668.24,GYCRCIZD
337,3HNZKEYKZYOV,1409,112.05,140.06,UXQLDNBC
338,X5RSWWQKX17F,6076,403.42,731.40,UQAIHIOI
339,01TL0ICPGRE6,1019,31.39,56.72,PUAAQYKI
340,ROASQO7V88Y4,334,16.46,25.27,COURESFM
341,YEER4Z035IDE,7491,448.62,763.55,GAHBTDEC
342,PYVYLWQIQPMX,6514,402.08,459.18,JIBXLYVJ
343,HPMJBTEUDF9R,6298,436.09,590.90,YXEYYAUU
344,Q41S5CSC33W4,2662,107.35,200.64,COURESFM
345,T991AXVM1R5F,3301,429.20,581.57,TKOBOHXZ
346,14EZX3UB8ZGP,6589,387.48,598.27,NPZGUNBG
347,P0RKKFF2OYWX,2996,451.42,757.03,EGEDGYQE
348,AGS9DTGAEN0L,110,3.43,3.94,ESTUSGVQ
349,NI2BZW8W5NSJ,2021,144.60,252.62,TKOBOHXZ
350,OQY5FWPZ6QFQ,4950,415.55,639.95,EGEDGYQE
351,M717DDNSVH71,3077,419.63,471.66,DUVESCUP
352,GHAZ7LSEXGJ9,3817,367.93,539.75,NPZGUNBG
353,OOWQFTF0L6OQ,6639,429.20,474.27,SXEDLYPA
354,307P2VEDDKZ3,3166,379.61,687.09,CPKTLQGA
355,H6NSEDNZOAB4,3862,444.43,679.09,HDPBFCUI
356,4RMNSBBHO46I,4426,440.25,485.16,EIAPSBUM
357,WRNRFINGR5U4,2509,123.34,141.72,EGEDGYQE
358,VW9UAH79DZYM,1493,122.52,166.63,NPZGUNBG
359,03D32SM2BAHC,5903,429.20,632.64,JPNKOVEY
360,Q3PQC4JOM02B,6422,434.71,733.79,ZHSGPGCE
361,GKY7TDLI5PZ3,1334,120.89,196.33,TNGXLUXB
362,0PDFL0WYXTFV,66,3.43,5.23,DLDNHXON
363,K59LCJS3MM92,1763,124.17,227.60,NJVSHSAQ
364,LX3BD4YUWAPS,7067,370.51,626.16,VYGATPNP
365,F9T8TCEW9XCE,2045,135.08,226.93,YXEYYAUU
366,L2DPLPWJ8J0T,5116,415.55,573.46,ZLYACVMT
367,B0LRWH4L3I8Z,1021,40.79,54.01,HIFWYHGS
368,Q6QWAH7AR3EB,3570,433.33,814.66,PUPXILQT
369,ATUAEOF90WKA,5618,420.99,742.21,RRHKWHUG
370,RWQ9FFAM9D27,7122,450.02,555.32,YXEYYAUU
371,I00NU83DTZOJ,183,13.37,20.63,EGEDGYQE
372,JU9SK6KGN4WN,7557,454.23,821.25,GYCRCIZD
373,9GYU037WIFGS,6569,415.55,554.34,DUVESCUP
374,SFQ2L3QF7Z2N,597,41.84,60.79,HDPBFCUI
375,3K1Q5AE1FHNH,6279,403.42,757.22,QOODUKSF
376,WPONZ813KZZX,1690,128.32,206.08,TKOBOHXZ
377,H0A5TF6NE7KX,168,12.08,14.22,EIAPSBUM
378,3YNBIZBLMBM5,818,36.71,51.69,CPKTLQGA
379,WUEMAU26OHWE,896,30.00,41.28,MGOWPCPA
380,NQ07EQ5U4HX9,6275,362.78,459.64,ZHSGPGCE
381,C44H0P94ZYH5,2756,130.84,204.24,UMIGMZRV
382,H7MXZXPN2DAC,1843,108.13,151.81,NJVSHSAQ
383,RQLSGRVWDXY2,1304,111.27,158.00,CMLLTKBT
384,0ABXYBI8SPI1,3597,440.25,726.41,PFUZXUBP
385,P6KG38055X0F,506,25.12,41.93,PUAAQYKI
386,TP3IYD7TYOWC,5248,404.76,500.69,SXEDLYPA
387,GXH40203MVYB,2259,125.82,225.22,VSBPGANE
388,HY9B5BZVIDYF,4888,362.78,409.22,VSBPGANE
389,4JQISTQ1HUS9,3948,403.42,535.74,SLVUJJVM
390,4IZ8ET0H0658,2154,133.37,177.65,JPNKOVEY
391,3H2CY0O6PRJ6,6955,371.80,635.78,TNGXLUXB
392,BH8I5BI8GN4X,7520,375.70,653.72,VSBPGANE
393,Q4MVB2C5AYN9,6355,444.43,549.32,JFRFZLXG
394,6SHG8R6NAKXA,4711,400.75,641.60,VSBPGANE
395,NJO1T6JVDDNH,6949,380.92,696.32,JFRFZLXG
396,B7GEJ374826Z,5765,415.55,592.16,TKLCRQAQ
397,KWXLL2E4IQIA,3174,402.08,617.59,HDPBFCUI
398,DN9LV9335JV8,4708,366.64,591.39,UIBJMQJU
399,ONUIHZ8W74GM,7304,418.27,716.91,PFUZXUBP
400,GO7XRCZYGVYK,3957,451.42,701.51,GYCRCIZD
401,3O8IMBUJQ7V5,4785,367.93,574.71,HDPBFCUI
402,DN65NP1WKOZB,273,10.54,17.93,TNGXLUXB
403,D2V3A5PP9DCT,4995,399.41,462.12,JIBXLYVJ
404,BN2H9EQR85JD,236,11.14,18.45,ESTUSGVQ
405,RFQEGDIWRDCY,6624,400.75,444.03,PUPXILQT
406,HIJSYXTEF57V,6097,489.95,894.16,JPNKOVEY
